link,word
./data/macroset/en/clips/rink/common_voice_en_19086349.opus,rink
./data/macroset/en/clips/rink/common_voice_en_17833688.opus,rink
./data/macroset/en/clips/rink/common_voice_en_19762017.opus,rink
./data/macroset/en/clips/rink/common_voice_en_22295747__2.opus,rink
./data/macroset/en/clips/rink/common_voice_en_20014349.opus,rink
./data/macroset/en/clips/medley/common_voice_en_17286457.opus,medley
./data/macroset/en/clips/medley/common_voice_en_18752462.opus,medley
./data/macroset/en/clips/medley/common_voice_en_17279504.opus,medley
./data/macroset/en/clips/medley/common_voice_en_17726137.opus,medley
./data/macroset/en/clips/medley/common_voice_en_583708.opus,medley
./data/macroset/en/clips/sol/common_voice_en_19639431.opus,sol
./data/macroset/en/clips/sol/common_voice_en_18672359.opus,sol
./data/macroset/en/clips/sol/common_voice_en_19711582.opus,sol
./data/macroset/en/clips/sol/common_voice_en_19055306.opus,sol
./data/macroset/en/clips/sol/common_voice_en_19654690.opus,sol
./data/macroset/en/clips/dummy/common_voice_en_4237215.opus,dummy
./data/macroset/en/clips/dummy/common_voice_en_22018003.opus,dummy
./data/macroset/en/clips/dummy/common_voice_en_438552.opus,dummy
./data/macroset/en/clips/dummy/common_voice_en_18633734.opus,dummy
./data/macroset/en/clips/dummy/common_voice_en_17433396.opus,dummy
./data/macroset/en/clips/readily/common_voice_en_20269750.opus,readily
./data/macroset/en/clips/readily/common_voice_en_19547549.opus,readily
./data/macroset/en/clips/readily/common_voice_en_20205078.opus,readily
./data/macroset/en/clips/readily/common_voice_en_579151.opus,readily
./data/macroset/en/clips/readily/common_voice_en_86969.opus,readily
./data/macroset/en/clips/villages/common_voice_en_20229760.opus,villages
./data/macroset/en/clips/villages/common_voice_en_21996637.opus,villages
./data/macroset/en/clips/villages/common_voice_en_19542496.opus,villages
./data/macroset/en/clips/villages/common_voice_en_20154179.opus,villages
./data/macroset/en/clips/villages/common_voice_en_18757859.opus,villages
./data/macroset/en/clips/mutual/common_voice_en_15734052.opus,mutual
