link,word
./data/macroset/en/clips/advise/common_voice_en_19388050.opus,advise
./data/macroset/en/clips/advise/common_voice_en_17742736.opus,advise
./data/macroset/en/clips/advise/common_voice_en_673237.opus,advise
./data/macroset/en/clips/advise/common_voice_en_17283732.opus,advise
./data/macroset/en/clips/advise/common_voice_en_17851787.opus,advise
./data/macroset/en/clips/neighbors/common_voice_en_20817968.opus,neighbors
./data/macroset/en/clips/neighbors/common_voice_en_653503.opus,neighbors
./data/macroset/en/clips/neighbors/common_voice_en_19963172.opus,neighbors
./data/macroset/en/clips/neighbors/common_voice_en_615691.opus,neighbors
./data/macroset/en/clips/neighbors/common_voice_en_21897950.opus,neighbors
./data/macroset/en/clips/summit/common_voice_en_19774187.opus,summit
./data/macroset/en/clips/summit/common_voice_en_19947123.opus,summit
./data/macroset/en/clips/summit/common_voice_en_21094805.opus,summit
./data/macroset/en/clips/summit/common_voice_en_21125048.opus,summit
./data/macroset/en/clips/summit/common_voice_en_19647341.opus,summit
./data/macroset/en/clips/awaits/common_voice_en_20831034.opus,awaits
./data/macroset/en/clips/awaits/common_voice_en_630796.opus,awaits
./data/macroset/en/clips/awaits/common_voice_en_625250.opus,awaits
./data/macroset/en/clips/awaits/common_voice_en_20600204.opus,awaits
./data/macroset/en/clips/awaits/common_voice_en_518360.opus,awaits
./data/macroset/en/clips/fascinating/common_voice_en_565543.opus,fascinating
./data/macroset/en/clips/fascinating/common_voice_en_18352518.opus,fascinating
./data/macroset/en/clips/fascinating/common_voice_en_694676.opus,fascinating
./data/macroset/en/clips/fascinating/common_voice_en_500390.opus,fascinating
./data/macroset/en/clips/fascinating/common_voice_en_157819.opus,fascinating
./data/macroset/en/clips/lover/common_voice_en_20783451.opus,lover
./data/macroset/en/clips/lover/common_voice_en_19599276.opus,lover
./data/macroset/en/clips/lover/common_voice_en_19957928.opus,lover
./data/macroset/en/clips/lover/common_voice_en_19742620.opus,lover
./data/macroset/en/clips/lover/common_voice_en_19417004.opus,lover
./data/macroset/en/clips/diagnosed/common_voice_en_19672035.opus,diagnosed
./data/macroset/en/clips/diagnosed/common_voice_en_17961310.opus,diagnosed
./data/macroset/en/clips/diagnosed/common_voice_en_20006578.opus,diagnosed
./data/macroset/en/clips/diagnosed/common_voice_en_20689784.opus,diagnosed
./data/macroset/en/clips/diagnosed/common_voice_en_21128516.opus,diagnosed
./data/macroset/en/clips/scanning/common_voice_en_89597.opus,scanning
./data/macroset/en/clips/scanning/common_voice_en_19701804.opus,scanning
./data/macroset/en/clips/scanning/common_voice_en_69838.opus,scanning
./data/macroset/en/clips/scanning/common_voice_en_20327992.opus,scanning
./data/macroset/en/clips/scanning/common_voice_en_21759981.opus,scanning
./data/macroset/en/clips/traditional/common_voice_en_22277449.opus,traditional
./data/macroset/en/clips/traditional/common_voice_en_22405512.opus,traditional
./data/macroset/en/clips/traditional/common_voice_en_21304906.opus,traditional
./data/macroset/en/clips/traditional/common_voice_en_20952591.opus,traditional
./data/macroset/en/clips/traditional/common_voice_en_21764738.opus,traditional
./data/macroset/en/clips/sounded/common_voice_en_676910.opus,sounded
./data/macroset/en/clips/sounded/common_voice_en_18478284.opus,sounded
./data/macroset/en/clips/sounded/common_voice_en_660246.opus,sounded
./data/macroset/en/clips/sounded/common_voice_en_658678.opus,sounded
./data/macroset/en/clips/sounded/common_voice_en_645900.opus,sounded
./data/macroset/en/clips/showing/common_voice_en_209414.opus,showing
