link,word
./data/macroset/en/clips/cheers/common_voice_en_19118496.opus,cheers
./data/macroset/en/clips/cheers/common_voice_en_21807643.opus,cheers
./data/macroset/en/clips/cheers/common_voice_en_17258231.opus,cheers
./data/macroset/en/clips/cheers/common_voice_en_515308.opus,cheers
./data/macroset/en/clips/cheers/common_voice_en_18316618.opus,cheers
./data/macroset/en/clips/contractor/common_voice_en_20332923.opus,contractor
./data/macroset/en/clips/contractor/common_voice_en_20802386.opus,contractor
./data/macroset/en/clips/contractor/common_voice_en_18998439.opus,contractor
./data/macroset/en/clips/contractor/common_voice_en_21302272.opus,contractor
./data/macroset/en/clips/contractor/common_voice_en_20167658.opus,contractor
./data/macroset/en/clips/growing/common_voice_en_18756694.opus,growing
./data/macroset/en/clips/growing/common_voice_en_20952369.opus,growing
./data/macroset/en/clips/growing/common_voice_en_20754729.opus,growing
./data/macroset/en/clips/growing/common_voice_en_19867016.opus,growing
./data/macroset/en/clips/growing/common_voice_en_20522793.opus,growing
./data/macroset/en/clips/diversity/common_voice_en_20361505.opus,diversity
./data/macroset/en/clips/diversity/common_voice_en_20387419.opus,diversity
./data/macroset/en/clips/diversity/common_voice_en_22038582.opus,diversity
./data/macroset/en/clips/diversity/common_voice_en_19725319.opus,diversity
./data/macroset/en/clips/diversity/common_voice_en_21836263.opus,diversity
./data/macroset/en/clips/lock/common_voice_en_17841301.opus,lock
./data/macroset/en/clips/lock/common_voice_en_700550.opus,lock
./data/macroset/en/clips/lock/common_voice_en_17876924.opus,lock
./data/macroset/en/clips/lock/common_voice_en_521549.opus,lock
./data/macroset/en/clips/lock/common_voice_en_20092183.opus,lock
./data/macroset/en/clips/soprano/common_voice_en_20248765.opus,soprano
./data/macroset/en/clips/soprano/common_voice_en_22239287.opus,soprano
./data/macroset/en/clips/soprano/common_voice_en_20941061.opus,soprano
./data/macroset/en/clips/soprano/common_voice_en_22178337.opus,soprano
./data/macroset/en/clips/soprano/common_voice_en_18320353.opus,soprano
./data/macroset/en/clips/rick/common_voice_en_332710.opus,rick
./data/macroset/en/clips/rick/common_voice_en_18658636.opus,rick
./data/macroset/en/clips/rick/common_voice_en_22470996.opus,rick
./data/macroset/en/clips/rick/common_voice_en_19749979.opus,rick
./data/macroset/en/clips/rick/common_voice_en_19668734.opus,rick
./data/macroset/en/clips/unresting/common_voice_en_684384.opus,unresting
./data/macroset/en/clips/unresting/common_voice_en_17297488.opus,unresting
./data/macroset/en/clips/unresting/common_voice_en_17735726.opus,unresting
./data/macroset/en/clips/unresting/common_voice_en_18152578.opus,unresting
./data/macroset/en/clips/unresting/common_voice_en_8029705.opus,unresting
./data/macroset/en/clips/plush/common_voice_en_18522219.opus,plush
./data/macroset/en/clips/plush/common_voice_en_17986051.opus,plush
./data/macroset/en/clips/plush/common_voice_en_356956.opus,plush
./data/macroset/en/clips/plush/common_voice_en_21924674.opus,plush
./data/macroset/en/clips/plush/common_voice_en_16047441.opus,plush
./data/macroset/en/clips/dubious/common_voice_en_18971252.opus,dubious
./data/macroset/en/clips/dubious/common_voice_en_18521384.opus,dubious
./data/macroset/en/clips/dubious/common_voice_en_19350517.opus,dubious
./data/macroset/en/clips/dubious/common_voice_en_50521.opus,dubious
./data/macroset/en/clips/dubious/common_voice_en_572941.opus,dubious
./data/macroset/en/clips/morning/common_voice_en_17276941.opus,morning
./data/macroset/en/clips/morning/common_voice_en_20036038.opus,morning
./data/macroset/en/clips/morning/common_voice_en_20754266.opus,morning
./data/macroset/en/clips/morning/common_voice_en_153783.opus,morning
./data/macroset/en/clips/morning/common_voice_en_86927.opus,morning
./data/macroset/en/clips/added/common_voice_en_646290.opus,added
./data/macroset/en/clips/added/common_voice_en_18166172.opus,added
./data/macroset/en/clips/added/common_voice_en_22246046.opus,added
./data/macroset/en/clips/added/common_voice_en_19620337.opus,added
./data/macroset/en/clips/added/common_voice_en_21311172.opus,added
./data/macroset/en/clips/sunburn/common_voice_en_18177884.opus,sunburn
./data/macroset/en/clips/sunburn/common_voice_en_18131074.opus,sunburn
./data/macroset/en/clips/sunburn/common_voice_en_18283281.opus,sunburn
./data/macroset/en/clips/sunburn/common_voice_en_19657169.opus,sunburn
./data/macroset/en/clips/sunburn/common_voice_en_18266136.opus,sunburn
./data/macroset/en/clips/blair/common_voice_en_19782458.opus,blair
